# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-06 13:13:51 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03293000 M FK BEARGRASS CR AT OLD CANNONS LN AT LOUISVILLE,
# -----------------------------------------------------------------------------------
#
# Data provided for site 03293000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
USGS	03293000	2015-08-01	4.1	P
USGS	03293000	2015-08-02	3.6	P
USGS	03293000	2015-08-03	3.0	P
USGS	03293000	2015-08-04	6.0	P
USGS	03293000	2015-08-05	25	P
USGS	03293000	2015-08-06	51	P
USGS	03293000	2015-08-07	18	P
USGS	03293000	2015-08-08	9.3	P
USGS	03293000	2015-08-09	6.9	P
USGS	03293000	2015-08-10	5.7	P
USGS	03293000	2015-08-11	4.4	P
USGS	03293000	2015-08-12	3.7	P
USGS	03293000	2015-08-13	3.0	P
USGS	03293000	2015-08-14	2.7	P
USGS	03293000	2015-08-15	2.4	P
USGS	03293000	2015-08-16	2.3	P
USGS	03293000	2015-08-17	2.1	P
USGS	03293000	2015-08-18	2.0	P
USGS	03293000	2015-08-19	8.8	P
USGS	03293000	2015-08-20	12	P
USGS	03293000	2015-08-21	5.0	P
USGS	03293000	2015-08-22	3.8	P
USGS	03293000	2015-08-23	5.1	P
USGS	03293000	2015-08-24	3.0	P
USGS	03293000	2015-08-25	2.9	P
USGS	03293000	2015-08-26	2.1	P
USGS	03293000	2015-08-27	1.8	P
USGS	03293000	2015-08-28	1.6	P
USGS	03293000	2015-08-29	1.7	P
USGS	03293000	2015-08-30	8.5	P
USGS	03293000	2015-08-31		
USGS	03293000	2015-09-01		
USGS	03293000	2015-09-02		
USGS	03293000	2015-09-03	3.6	P
USGS	03293000	2015-09-04	2.8	P
USGS	03293000	2015-09-05	2.2	P
USGS	03293000	2015-09-06	2.0	P
USGS	03293000	2015-09-07	2.1	P
USGS	03293000	2015-09-08	1.7	P
USGS	03293000	2015-09-09	8.0	P
USGS	03293000	2015-09-10	5.9	P
USGS	03293000	2015-09-11	3.5	P
USGS	03293000	2015-09-12	3.1	P
USGS	03293000	2015-09-13	2.6	P
USGS	03293000	2015-09-14	2.1	P
USGS	03293000	2015-09-15	1.9	P
USGS	03293000	2015-09-16	2.1	P
USGS	03293000	2015-09-17	1.6	P
USGS	03293000	2015-09-18	1.4	P
USGS	03293000	2015-09-19	1.4	P
USGS	03293000	2015-09-20	1.6	P
USGS	03293000	2015-09-21	1.6	P
USGS	03293000	2015-09-22	1.1	P
USGS	03293000	2015-09-23	1.2	P
USGS	03293000	2015-09-24	1.1	P
USGS	03293000	2015-09-25	1.5	P
USGS	03293000	2015-09-26	1.7	P
USGS	03293000	2015-09-27	1.9	P
USGS	03293000	2015-09-28	1.9	P
USGS	03293000	2015-09-29	66	P
USGS	03293000	2015-09-30	24	P
USGS	03293000	2015-10-01	8.9	P
USGS	03293000	2015-10-02	13	P
USGS	03293000	2015-10-03	22	P
USGS	03293000	2015-10-04	8.8	P
USGS	03293000	2015-10-05	6.5	P
USGS	03293000	2015-10-06	5.5	P
USGS	03293000	2015-10-07	4.6	P
USGS	03293000	2015-10-08	3.6	P
USGS	03293000	2015-10-09	3.9	P
USGS	03293000	2015-10-10	4.3	P
USGS	03293000	2015-10-11	3.9	P
USGS	03293000	2015-10-12	7.2	P
USGS	03293000	2015-10-13	13	P
USGS	03293000	2015-10-14	5.6	P
USGS	03293000	2015-10-15	4.6	P
USGS	03293000	2015-10-16	3.4	P
USGS	03293000	2015-10-17	3.7	P
USGS	03293000	2015-10-18	3.6	P
USGS	03293000	2015-10-19	3.6	P
USGS	03293000	2015-10-20	3.6	P
USGS	03293000	2015-10-21	3.5	P
USGS	03293000	2015-10-22	3.6	P
USGS	03293000	2015-10-23	3.6	P
USGS	03293000	2015-10-24	5.6	P
USGS	03293000	2015-10-25	14	P
USGS	03293000	2015-10-26	6.0	P
USGS	03293000	2015-10-27	62	P
USGS	03293000	2015-10-28	136	P
USGS	03293000	2015-10-29	44	P
USGS	03293000	2015-10-30	23	P
USGS	03293000	2015-10-31		
USGS	03293000	2015-11-01		
USGS	03293000	2015-11-02		
USGS	03293000	2015-11-03		
USGS	03293000	2015-11-04	8.7	P
USGS	03293000	2015-11-05	7.8	P
USGS	03293000	2015-11-06	103	P
USGS	03293000	2015-11-07	25	P
USGS	03293000	2015-11-08	16	P
USGS	03293000	2015-11-09	20	P
USGS	03293000	2015-11-10	33	P
USGS	03293000	2015-11-11	17	P
USGS	03293000	2015-11-12	47	P
USGS	03293000	2015-11-13	20	P
USGS	03293000	2015-11-14	14	P
USGS	03293000	2015-11-15	12	P
USGS	03293000	2015-11-16	10	P
USGS	03293000	2015-11-17	10	P
USGS	03293000	2015-11-18	248	P
USGS	03293000	2015-11-19	67	P
USGS	03293000	2015-11-20	31	P
USGS	03293000	2015-11-21	23	P
USGS	03293000	2015-11-22	17	P
USGS	03293000	2015-11-23	13	P
USGS	03293000	2015-11-24	11	P
USGS	03293000	2015-11-25	9.1	P
USGS	03293000	2015-11-26	7.9	P
USGS	03293000	2015-11-27	7.7	P
USGS	03293000	2015-11-28	39	P
USGS	03293000	2015-11-29	46	P
USGS	03293000	2015-11-30	26	P
USGS	03293000	2015-12-01	145	P
USGS	03293000	2015-12-02	46	P
USGS	03293000	2015-12-03	30	P
USGS	03293000	2015-12-04	23	P
USGS	03293000	2015-12-05	17	P
USGS	03293000	2015-12-06	14	P
USGS	03293000	2015-12-07	12	P
USGS	03293000	2015-12-08	11	P
USGS	03293000	2015-12-09	9.6	P
USGS	03293000	2015-12-10	8.7	P
USGS	03293000	2015-12-11	8.0	P
USGS	03293000	2015-12-12	7.3	P
USGS	03293000	2015-12-13	6.8	P
USGS	03293000	2015-12-14	22	P
USGS	03293000	2015-12-15	12	P
USGS	03293000	2015-12-16	8.8	P
USGS	03293000	2015-12-17	7.6	P
USGS	03293000	2015-12-18	6.8	P
USGS	03293000	2015-12-19	6.2	P
USGS	03293000	2015-12-20	5.8	P
USGS	03293000	2015-12-21	8.4	P
USGS	03293000	2015-12-22	72	P
USGS	03293000	2015-12-23	180	P
USGS	03293000	2015-12-24	178	P
USGS	03293000	2015-12-25	54	P
USGS	03293000	2015-12-26	55	P
USGS	03293000	2015-12-27	648	P
USGS	03293000	2015-12-28	234	P
USGS	03293000	2015-12-29	127	P
USGS	03293000	2015-12-30	68	P
USGS	03293000	2015-12-31	45	P
USGS	03293000	2016-01-01	33	P
USGS	03293000	2016-01-02	27	P
USGS	03293000	2016-01-03	22	P
USGS	03293000	2016-01-04	18	P
USGS	03293000	2016-01-05	15	P
USGS	03293000	2016-01-06	13	P
USGS	03293000	2016-01-07	12	P
USGS	03293000	2016-01-08	17	P
USGS	03293000	2016-01-09	13	P
USGS	03293000	2016-01-10	18	P
USGS	03293000	2016-01-11	13	P
USGS	03293000	2016-01-12	12	P
USGS	03293000	2016-01-13	11	P
USGS	03293000	2016-01-14	10	P
USGS	03293000	2016-01-15	12	P
USGS	03293000	2016-01-16	13	P
USGS	03293000	2016-01-17	11	P
USGS	03293000	2016-01-18	9.3	P
USGS	03293000	2016-01-19	8.7	P
USGS	03293000	2016-01-20	9.0	P
USGS	03293000	2016-01-21	8.7	P
USGS	03293000	2016-01-22	8.9	P
USGS	03293000	2016-01-23	9.0	P
USGS	03293000	2016-01-24	8.8	P
USGS	03293000	2016-01-25	9.8	P
USGS	03293000	2016-01-26	16	P
USGS	03293000	2016-01-27	13	P
USGS	03293000	2016-01-28	11	P
USGS	03293000	2016-01-29	11	P
USGS	03293000	2016-01-30	9.9	P
USGS	03293000	2016-01-31	9.2	P
USGS	03293000	2016-02-01	12	P
USGS	03293000	2016-02-02	25	P
USGS	03293000	2016-02-03	259	P
USGS	03293000	2016-02-04	53	P
USGS	03293000	2016-02-05	36	P
USGS	03293000	2016-02-06	28	P
USGS	03293000	2016-02-07	23	P
USGS	03293000	2016-02-08	26	P
USGS	03293000	2016-02-09	23	P
USGS	03293000	2016-02-10	17	P
USGS	03293000	2016-02-11	15	P
USGS	03293000	2016-02-12	13	P
USGS	03293000	2016-02-13	12	P
USGS	03293000	2016-02-14	11	P
USGS	03293000	2016-02-15	12	P
USGS	03293000	2016-02-16	17	P
USGS	03293000	2016-02-17	15	P
USGS	03293000	2016-02-18	13	P
USGS	03293000	2016-02-19	12	P
USGS	03293000	2016-02-20	12	P
USGS	03293000	2016-02-21	106	P
USGS	03293000	2016-02-22	45	P
USGS	03293000	2016-02-23	33	P
USGS	03293000	2016-02-24	333	P
USGS	03293000	2016-02-25	96	P
USGS	03293000	2016-02-26	58	P
USGS	03293000	2016-02-27	43	P
USGS	03293000	2016-02-28	34	P
USGS	03293000	2016-02-29	34	P
USGS	03293000	2016-03-01	55	P
USGS	03293000	2016-03-02	36	P
USGS	03293000	2016-03-03	28	P
USGS	03293000	2016-03-04	25	P
USGS	03293000	2016-03-05	23	P
USGS	03293000	2016-03-06	20	P
USGS	03293000	2016-03-07	18	P
USGS	03293000	2016-03-08	17	P
USGS	03293000	2016-03-09	23	P
USGS	03293000	2016-03-10	135	P
USGS	03293000	2016-03-11	98	P
USGS	03293000	2016-03-12	81	P
USGS	03293000	2016-03-13	143	P
USGS	03293000	2016-03-14	71	P
USGS	03293000	2016-03-15	53	P
USGS	03293000	2016-03-16	43	P
USGS	03293000	2016-03-17	33	P
USGS	03293000	2016-03-18	29	P
USGS	03293000	2016-03-19	32	P
USGS	03293000	2016-03-20	26	P
USGS	03293000	2016-03-21	21	P
USGS	03293000	2016-03-22	18	P
USGS	03293000	2016-03-23	17	P
USGS	03293000	2016-03-24	45	P
USGS	03293000	2016-03-25	41	P
USGS	03293000	2016-03-26	20	P
USGS	03293000	2016-03-27	25	P
USGS	03293000	2016-03-28	93	P
USGS	03293000	2016-03-29	27	P
USGS	03293000	2016-03-30	21	P
USGS	03293000	2016-03-31	65	P
USGS	03293000	2016-04-01	139	P
USGS	03293000	2016-04-02	45	P
USGS	03293000	2016-04-03	33	P
USGS	03293000	2016-04-04	26	P
USGS	03293000	2016-04-05	21	P
USGS	03293000	2016-04-06	19	P
USGS	03293000	2016-04-07	17	P
USGS	03293000	2016-04-08	14	P
USGS	03293000	2016-04-09	13	P
USGS	03293000	2016-04-10	11	P
USGS	03293000	2016-04-11	43	P
USGS	03293000	2016-04-12	46	P
USGS	03293000	2016-04-13	20	P
USGS	03293000	2016-04-14	15	P
USGS	03293000	2016-04-15	13	P
USGS	03293000	2016-04-16	12	P
USGS	03293000	2016-04-17	10	P
USGS	03293000	2016-04-18	9.6	P
USGS	03293000	2016-04-19	9.1	P
USGS	03293000	2016-04-20	9.7	P
USGS	03293000	2016-04-21	15	P
USGS	03293000	2016-04-22	23	P
USGS	03293000	2016-04-23	13	P
USGS	03293000	2016-04-24	9.7	P
USGS	03293000	2016-04-25	8.6	P
USGS	03293000	2016-04-26	9.2	P
USGS	03293000	2016-04-27	42	P
USGS	03293000	2016-04-28	80	P
USGS	03293000	2016-04-29	18	P
USGS	03293000	2016-04-30	30	P
USGS	03293000	2016-05-01		
USGS	03293000	2016-05-02		
USGS	03293000	2016-05-03		
USGS	03293000	2016-05-04	23	P
USGS	03293000	2016-05-05	20	P
USGS	03293000	2016-05-06	14	P
USGS	03293000	2016-05-07	52	P
USGS	03293000	2016-05-08	70	P
USGS	03293000	2016-05-09	25	P
USGS	03293000	2016-05-10	96	P
USGS	03293000	2016-05-11	136	P
USGS	03293000	2016-05-12	87	P
USGS	03293000	2016-05-13	52	P
USGS	03293000	2016-05-14	34	P
USGS	03293000	2016-05-15	25	P
USGS	03293000	2016-05-16	19	P
USGS	03293000	2016-05-17	30	P
USGS	03293000	2016-05-18	37	P
USGS	03293000	2016-05-19	20	P
USGS	03293000	2016-05-20	77	P
USGS	03293000	2016-05-21	49	P
USGS	03293000	2016-05-22	29	P
USGS	03293000	2016-05-23	22	P
USGS	03293000	2016-05-24	17	P
USGS	03293000	2016-05-25	13	P
USGS	03293000	2016-05-26	18	P
USGS	03293000	2016-05-27	15	P
USGS	03293000	2016-05-28	14	P
USGS	03293000	2016-05-29	8.7	P
USGS	03293000	2016-05-30	7.3	P
USGS	03293000	2016-05-31	6.0	P
USGS	03293000	2016-06-01	5.7	P
USGS	03293000	2016-06-02		
USGS	03293000	2016-06-03		
USGS	03293000	2016-06-04	7.0	P
USGS	03293000	2016-06-05	6.2	P
